Num Objects (n),Num Pairs (m),0.5*n*ln(n)
25,57.2,40.23594781
50,116.16,97.80057514
100,272.28,230.2585093
200,550.92,529.8317367
400,1323.92,1198.292909
800,2671.76,2673.844691
1600,6121.36,5902.207127
3200,14588.72,12913.44974
6400,31000.96,28044.97046
12800,63623.04,60526.08288
25600,134619.16,129924.4497
51200,297053.76,277593.4672
102400,601920.52,590676.07
204800,1331145.48,1252330.411
409600,2877144.36,2646617.365
819200,5652306.36,5577147.815
1638400,1.21E+07,11722121.8
3276800,2.59E+07,24579895.94
6553600,5.17E+07,51431096.57
